"1.95","053980","2020-12-14","2020-12-14","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
"-2.1","002780","2020-12-14","2020-12-14","토목 건설업"
"-3.09","192250","2020-12-14","2020-12-14","소프트웨어 개발 및 공급업"
"2.68","241820","2020-12-14","2020-12-14","의료용품 및 기타 의약 관련제품 제조업"
"2.68","241820","2020-12-14","2020-12-14","의료용품 및 기타 의약 관련제품 제조업"
"2.68","241820","2020-12-14","2020-12-14","의료용품 및 기타 의약 관련제품 제조업"
"2.68","241820","2020-12-14","2020-12-14","의료용품 및 기타 의약 관련제품 제조업"
"1.37","009540","2020-12-14","2020-12-14","선박 및 보트 건조업"
"0.84","267250","2020-12-14","2020-12-14","석유 정제품 제조업"
"-1.48","039570","2020-12-15","2020-12-15","전기 및 통신 공사업"
"-0.43","005090","2020-12-15","2020-12-15","전기업"
"1.03","100090","2020-12-15","2020-12-15","1차 철강 제조업"
"0.26","099750","2020-12-15","2020-12-15","소프트웨어 개발 및 공급업"
"-0.44","009410","2020-12-15","2020-12-15","토목 건설업"
"0.73","028670","2020-12-15","2020-12-15","해상 운송업"
"-2.66","003380","2020-12-15","2020-12-15","기타 금융업"
"-2.25","009540","2020-12-15","2020-12-15","선박 및 보트 건조업"
"-2.25","009540","2020-12-15","2020-12-15","선박 및 보트 건조업"
"-2.25","009540","2020-12-15","2020-12-15","선박 및 보트 건조업"
"1.41","047810","2020-12-15","2020-12-15","항공기,우주선 및 부품 제조업"
"-1","267250","2020-12-15","2020-12-15","석유 정제품 제조업"
"-1","267250","2020-12-15","2020-12-15","석유 정제품 제조업"
"-1","267250","2020-12-15","2020-12-15","석유 정제품 제조업"
"2.47","065770","2020-12-16","2020-12-16","통신 및 방송 장비 제조업"
"0","033790","2020-12-16","2020-12-16","통신 및 방송 장비 제조업"
"0.7","010280","2020-12-16","2020-12-16","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
"2.24","064510","2020-12-16","2020-12-16","특수 목적용 기계 제조업"
"2.17","950130","2020-12-16","2020-12-16","의료용품 및 기타 의약 관련제품 제조업"
"25.44","066970","2020-12-16","2020-12-16","일차전지 및 축전지 제조업"
"0.29","241790","2020-12-16","2020-12-16","특수 목적용 기계 제조업"
"0.92","009540","2020-12-16","2020-12-16","선박 및 보트 건조업"
"1.99","047810","2020-12-16","2020-12-16","항공기,우주선 및 부품 제조업"
"1.52","267250","2020-12-16","2020-12-16","석유 정제품 제조업"
"-1.21","006260","2020-12-17","2020-12-17","기타 금융업"
"0.84","002210","2020-12-17","2020-12-17","의약품 제조업"
"-1.32","337930","2020-12-17","2020-12-17","기타 정보 서비스업"
"-1.32","337930","2020-12-17","2020-12-17","기타 정보 서비스업"
"0.28","229000","2020-12-17","2020-12-17","의료용품 및 기타 의약 관련제품 제조업"
"3.44","079550","2020-12-18","2020-12-18","무기 및 총포탄 제조업"
"1.72","013580","2020-12-18","2020-12-18","토목 건설업"
"-3.56","214610","2020-12-18","2020-12-18","의료용 기기 제조업"
"5.82","251630","2020-12-18","2020-12-18","특수 목적용 기계 제조업"
"0.4","011000","2020-12-18","2020-12-18","의약품 제조업"
"2.8","026150","2020-12-18","2020-12-18","토목 건설업"
"-1.03","005690","2020-12-18","2020-12-18","기초 의약물질 및 생물학적 제제 제조업"
"1.66","014790","2020-12-18","2020-12-18","토목 건설업"
"0.27","060980","2020-12-18","2020-12-18","기타 금융업"
"-0.33","079550","2020-12-21","2020-12-21","무기 및 총포탄 제조업"
"-0.33","079550","2020-12-21","2020-12-21","무기 및 총포탄 제조업"
"1.7","267320","2020-12-21","2020-12-21","특수 목적용 기계 제조업"
"-0.55","079810","2020-12-21","2020-12-21","특수 목적용 기계 제조업"
"-3.62","305090","2020-12-21","2020-12-21","의료용 기기 제조업"
"3.5","091440","2020-12-21","2020-12-21","통신 및 방송 장비 제조업"
"1.85","009540","2020-12-21","2020-12-21","선박 및 보트 건조업"
"1.85","009540","2020-12-21","2020-12-21","선박 및 보트 건조업"
"1.85","009540","2020-12-21","2020-12-21","선박 및 보트 건조업"
"4.6","042700","2020-12-21","2020-12-21","특수 목적용 기계 제조업"
"1.62","267250","2020-12-21","2020-12-21","석유 정제품 제조업"
"1.62","267250","2020-12-21","2020-12-21","석유 정제품 제조업"
"1.62","267250","2020-12-21","2020-12-21","석유 정제품 제조업"
"-0.97","017040","2020-12-22","2020-12-22","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"-0.97","017040","2020-12-22","2020-12-22","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"0.92","001470","2020-12-22","2020-12-22","토목 건설업"
"-5.79","138250","2020-12-22","2020-12-22",\N
"-2.05","002020","2020-12-22","2020-12-22","기타 금융업"
"-4.26","003070","2020-12-22","2020-12-22","토목 건설업"
"-0.88","009410","2020-12-22","2020-12-22","토목 건설업"
"-4.52","241820","2020-12-22","2020-12-22","의료용품 및 기타 의약 관련제품 제조업"
"-5.5","003380","2020-12-22","2020-12-22","기타 금융업"
"-0.45","009540","2020-12-22","2020-12-22","선박 및 보트 건조업"
"-8.74","226440","2020-12-22","2020-12-22","특수 목적용 기계 제조업"
"2.71","272210","2020-12-22","2020-12-22","전자부품 제조업"
"-3.23","064350","2020-12-22","2020-12-22","철도장비 제조업"
"-1.12","267250","2020-12-22","2020-12-22","석유 정제품 제조업"
"1.62","082740","2020-12-23","2020-12-23","일반 목적용 기계 제조업"
"2.91","079550","2020-12-23","2020-12-23","무기 및 총포탄 제조업"
"2.91","079550","2020-12-23","2020-12-23","무기 및 총포탄 제조업"
"2.91","079550","2020-12-23","2020-12-23","무기 및 총포탄 제조업"
"-0.8","008260","2020-12-23","2020-12-23","1차 철강 제조업"
"-2.5","077970","2020-12-23","2020-12-23","일반 목적용 기계 제조업"
"1.97","253590","2020-12-23","2020-12-23","특수 목적용 기계 제조업"
"0.56","047040","2020-12-23","2020-12-23","건물 건설업"
"0.38","042660","2020-12-23","2020-12-23","선박 및 보트 건조업"
"-1.52","187870","2020-12-23","2020-12-23","특수 목적용 기계 제조업"
"-4.05","214610","2020-12-23","2020-12-23","의료용 기기 제조업"
"0.66","301300","2020-12-23","2020-12-23","소프트웨어 개발 및 공급업"
"-1.14","010140","2020-12-23","2020-12-23","선박 및 보트 건조업"
"1.5","304100","2020-12-23","2020-12-23","소프트웨어 개발 및 공급업"
"2.57","317770","2020-12-23","2020-12-23","전자부품 제조업"
"2.58","084370","2020-12-23","2020-12-23","특수 목적용 기계 제조업"
"0","009410","2020-12-23","2020-12-23","토목 건설업"
"0.15","026150","2020-12-23","2020-12-23","토목 건설업"
"4.58","241820","2020-12-23","2020-12-23","의료용품 및 기타 의약 관련제품 제조업"
"-1.83","009540","2020-12-23","2020-12-23","선박 및 보트 건조업"
"-1.83","009540","2020-12-23","2020-12-23","선박 및 보트 건조업"
"0.2","047810","2020-12-23","2020-12-23","항공기,우주선 및 부품 제조업"
"-0.29","042700","2020-12-23","2020-12-23","특수 목적용 기계 제조업"
"-1.61","267250","2020-12-23","2020-12-23","석유 정제품 제조업"
"-1.61","267250","2020-12-23","2020-12-23","석유 정제품 제조업"
"5.72","348210","2020-12-24","2020-12-24","특수 목적용 기계 제조업"
"-2.05","225220","2020-12-24","2020-12-24","기초 의약물질 및 생물학적 제제 제조업"
"0","180400","2020-12-24","2020-12-24","기타 과학기술 서비스업"
"10.78","241820","2020-12-24","2020-12-24","의료용품 및 기타 의약 관련제품 제조업"
"2.67","014790","2020-12-24","2020-12-24","토목 건설업"
"2.67","014790","2020-12-24","2020-12-24","토목 건설업"
"0.51","060980","2020-12-24","2020-12-24","기타 금융업"
"0.51","060980","2020-12-24","2020-12-24","기타 금융업"
"0.66","051600","2020-12-24","2020-12-24","전기 및 통신 공사업"
"6.57","272210","2020-12-24","2020-12-24","전자부품 제조업"
"6.57","272210","2020-12-24","2020-12-24","전자부품 제조업"
"1.3","210980","2020-12-28","2020-12-28","부동산 임대 및 공급업"
"-0.34","001880","2020-12-28","2020-12-28","건물 건설업"
"-4.03","068270","2020-12-28","2020-12-28","기초 의약물질 및 생물학적 제제 제조업"
"-2.56","115500","2020-12-28","2020-12-28","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
"1.33","009410","2020-12-28","2020-12-28","토목 건설업"
"-2.01","026150","2020-12-28","2020-12-28","토목 건설업"
"-4.66","005690","2020-12-28","2020-12-28","기초 의약물질 및 생물학적 제제 제조업"
"-0.42","241820","2020-12-28","2020-12-28","의료용품 및 기타 의약 관련제품 제조업"
"-0.42","241820","2020-12-28","2020-12-28","의료용품 및 기타 의약 관련제품 제조업"
"0.99","047810","2020-12-28","2020-12-28","항공기,우주선 및 부품 제조업"
