717,한농화성,11500
718,한독,2390
719,한라,14790
720,한라홀딩스,60980
721,한미글로벌,53690
722,한미반도체,42700
723,한미사이언스,8930
724,한미약품,128940
725,한샘,9240
726,한섬,20000
727,한성기업,3680
728,한세실업,105630
729,한세엠케이,69640
730,한세예스24홀딩스,16450
731,한솔로지스틱스,9180
732,한솔제지,213500
733,한솔케미칼,14680
734,한솔테크닉스,4710
735,한솔피엔에스,10420
736,한솔홀딩스,4150
737,한솔홈데코,25750
738,한신공영,4960
739,한신기계공업,11700
740,한양증권,1750
741,한온시스템,18880
742,한올바이오파마,9420
743,한익스프레스,14130
744,한일시멘트,300720
745,한일철강,2220
746,한일현대시멘트,6390
747,한일홀딩스,3300
748,한전KPS,51600
749,한전기술,52690
750,한전산업,130660
751,한진,2320
752,한진중공업홀딩스,3480
753,한진칼,180640
754,한창,5110
755,한창제지,9460
756,한컴라이프케어,372910
757,한화,880
758,한화생명,88350
759,한화손해보험,370
760,한화솔루션,9830
761,한화시스템,272210
762,한화에어로스페이스,12450
763,한화투자증권,3530
764,해성디에스,195870
765,해태제과식품,101530
766,핸즈코퍼레이션,143210
767,현대건설,720
768,현대건설기계,267270
769,현대그린푸드,5440
770,현대글로비스,86280
771,현대두산인프라코어,42670
772,현대로템,64350
773,현대리바트,79430
774,현대모비스,12330
775,현대미포조선,10620
776,현대백화점,69960
777,현대비앤지스틸,4560
778,현대약품,4310
779,현대에너지솔루션,322000
780,현대엘리베이터,17800
781,현대오토에버,307950
782,현대위아,11210
783,현대일렉트릭,267260
784,현대자동차,5380
785,현대제철,4020
786,현대중공업,329180
787,현대차증권,1500
788,현대코퍼레이션,11760
789,현대코퍼레이션홀딩스,227840
790,현대퓨처넷,126560
791,현대해상,1450
792,현대홈쇼핑,57050
793,형지엘리트,93240
794,혜인,3010
795,호전실업,111110
796,호텔신라,8770
797,화성산업,2460
798,화승알앤에이,378850
799,화승엔터프라이즈,241590
800,화승인더스트리,6060
801,화승코퍼레이션,13520
802,화신,10690
803,화인베스틸,133820
804,화천기계,10660
805,화천기공,850
806,환인제약,16580
807,황금에스티,32560
808,효성,4800
809,효성 ITX,94280
810,효성중공업,298040
811,효성첨단소재,298050
812,효성티앤씨,298020
813,효성화학,298000
814,후성,93370
815,휠라홀딩스,81660
816,휴니드테크놀러지스,5870
817,휴비스,79980
818,휴스틸,5010
819,흥국화재,540
820,흥아해운,3280
0,EMB,278990
1,HLB사이언스,343090
2,KC산업,112190
3,SK시그넷,260870
4,골프존데카,183410
5,관악산업,76340
6,굿센,243870
7,나눔테크,244880
8,나라소프트,288490
9,나우코스,257990
10,노드메이슨,317860
11,노브메타파마,229500
12,다원넥스뷰,323350
13,다이오진,271850
14,대동고려삼,178600
15,대주이엔티,114920
16,더콘텐츠온,302920
17,데이드림엔터,348840
18,데이터스트림즈,199150
19,도부마스크,227420
20,듀켐바이오,176750
21,디피코,163430
22,라이프사이언스테크놀로지,285770
23,라피치,403360
24,럭스피아,92590
25,렌딩머신,179720
26,로보쓰리,238500
27,로지스몬,223220
28,루켄테크놀러지스,162120
29,루트락,253610
30,메디쎄이,200580
31,메디안디노스틱,233250
32,메디젠휴먼케어,236340
33,명진홀딩스,267060
34,무송지오씨,135160
35,무진메디,322970
36,미래엔에듀파트너,208890
37,바스칸바이오제약,354390
38,바이오시네틱스,281310
39,바이오인프라생명과학,266470
40,바이오프로테크,199290
41,베른,322190
42,볼빅,206950
43,블루탑,191600
44,비엔디생활건강,215050
45,비엘헬스케어,86220
46,빅텐츠,210120
47,뿌리깊은나무들,266170
48,선바이오,67370
49,셀젠텍,258250
50,수프로,185190
51,스템랩,258540
52,시큐센,232830
53,썬테크,217320
54,씨알푸드,236030
55,씨앗,103660
56,씨앤에스링크,245450
57,씨엔티드림,286000
58,아이케이세미콘,149010
59,아퓨어스,149300
60,안지오랩,251280
61,앙츠,267810
62,엄지하우스,224810
63,에스알바이오텍,270210
64,에스엔피제네틱스,86460
65,에스엘에스바이오,246250
66,에스엠비나,299670
67,에스제이켐,217910
68,에스케이씨에스,224020
69,에이원알폼,234070
70,에이치엔에스하이텍,44990
71,에이펙스인텍,207490
72,엔솔바이오사이언스,140610
73,엔에스엠,238170
74,엔에스컴퍼니,224760
75,엔지브이아이,93510
76,엘리비젼,276240
77,엘에이티,311060
78,오션스톤,329020
79,원포유,122830
80,위월드,140660
81,유니포인트,121060
82,유비온,84440
83,유엑스엔,337840
84,유투바이오,221800
85,이노벡스,279060
86,이노진,344860
87,이비테크,208850
88,이성씨엔아이,379390
89,이앤에치,341310
90,이엠티,232530
91,인바이츠바이오코아,216400
92,제노텍,66830
93,제이엠멀티,254160
94,젬,248020
95,지앤이헬스케어,299480
96,진코스텍,250030
97,질경이,233990
98,청광건설,140290
99,켈스,402420
100,코나솔,176590
101,코셋,189350
102,코스텍시스템,169670
103,큐엠씨,136660
104,크로넥스,215570
105,타스컴,336040
106,타임기술,318660
107,탑선,180060
108,태양기계,116100
109,테크엔,308700
110,테크트랜스,258050
111,토마토시스템,393210
112,틸론,217880
113,파마리서치바이오,217950
114,파워풀엑스,266870
115,판도라티비,202960
116,펨토바이오메드,327610
117,퓨쳐메디신,341170
118,프로테옴텍,303360
119,플럼라인생명과학,222670
120,피노텍,150440
121,피엔아이컴퍼니,242350
122,한국미라클피플사,331660
123,한중엔시에스,107640
124,휴벡셀,212310
0,3S,60310
1,APS홀딩스,54620
2,AP시스템,265520
3,AP위성,211270
4,BNGT,32790
5,CBI,13720
6,CJ ENM,35760
7,CJ 바이오사이언스,311690
8,CJ프레시웨이,51500
9,CMG제약,58820
10,CNH,23460
11,CNT85,56730
12,CS,65770
13,CSA 코스믹,83660
14,DB금융스팩8호,367340
15,DB금융스팩9호,367360
16,DMS,68790
17,DSC인베스트먼트,241520
18,EDGC,245620
19,EG,37370
20,ES큐브,50120
21,EV수성,84180
22,FSN,214270
23,GH신소재,130500
24,GRT,900290
25,GST,83450
26,HB솔루션,297890
27,HB테크놀러지,78150
28,HK이노엔,195940
29,HLB,28300
30,HLB생명과학,67630
31,HLB제약,47920
32,HLB테라퓨틱스,115450
33,HPSP,403870
34,HRS,36640
35,IBKS제12호스팩,335870
36,IBKS제13호스팩,351340
37,IBKS제16호스팩,388790
38,IBKS제17호스팩,405350
39,IBKS제18호스팩,424760
40,ISC,95340
41,ITX-AI,99520
42,JTC,950170
43,JW신약,67290
44,JYP Ent.,35900
45,KBG,318000
46,KBI메탈,24840
47,KB오토시스,24120
48,KCC건설,21320
49,KCI,36670
50,KD,44180
51,KG ETS,151860
52,KG모빌리언스,46440
53,KG이니시스,35600
54,KH 건설,226360
55,KH 전자,111870
56,KH바텍,60720
